Not Relevant,Tweet Text
Not Relevant,"#Intern #US #TATTOO #Wisconsin #Ohio #NC #PA #Florida #Colorado #Iowa #Nevada #Virginia #NV #mlb Travel Destinations---&gt;http://t.co/TIHBJKF2"
Not Relevant,"RT @Jack4Ward: Get in on the fun every Thursday with the @csindependent #FunBrief http://ow.ly/br9Wi #CoSprings #Colorado"
Not Relevant,"Welcome to our newest STUDENTathlete- Reagan Biechler from Colorado Springs (CO) ’13- Baseball. http://t.co/lzeiYMpq"
Not Relevant,"Denver Post: #Colorado governor signs bill creating rules for public access to ballots http://t.co/Hmp1wQ8P #opengov"
Not Relevant,"Pretty sure I'm going to live in Manitou Springs
Not Relevant,"Flying over the beautiful snow capped #mountains of #colorado #livingsocial #iphonesia #hdr #instagood  http://t.co/tCgmQ2xI"
Not Relevant,"It isn't a beach but just as great #colorado #summer  http://t.co/NPi5wJ9n"
Not Relevant,"#colorado. Told you its #amazing http://t.co/6z0Qq7qe"
Not Relevant,"RT @xRedRoverx: #Colorado #news #crime 3 bodies found in La Plata County Friday | http://t.co/BNPYWOBu http://t.co/iLUtRFED via @9news"
Not Relevant,"checkmate payday loans colorado springs http://t.co/8pSlcpVV"
Not Relevant,"Free #HTC #Wildfire S
Not Relevant,"Wildly popular Tough Mudder adventure race gives #Colorado ski areas some summertime crowds: http://t.co/Lyj5MxDC"
Not Relevant,"day 9- your view. there's no other view like one on top of a mountain. i miss camp so much. #colorado  http://t.co/3RaO8P7b"
Not Relevant,"#Colorado http://t.co/PIEZEJM8"
Relevant,"RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy"
Not Relevant,"The Champ http://t.co/FzYGdD4O Statue Pro Rodeo Hall Of Fame Colorado Springs #photo #statue #Rodeo"
Relevant,"#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire"
Not Relevant,"Frontier Ranch here I come!!!! #timetodrive24hours #tooexcitedtobebored #Colorado @Rochelleee24 @YoungLifeCRHS"
Not Relevant,"Normal people watching horse related programming today are watching the Belmont Stakes. @Lilah86 is watching #Wildfire."
Relevant,"20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak"
Not Relevant,"The only good thing about driving down Arapahoe road... The view. #Colorado"
Relevant,"FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP"
Relevant,"#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News"
Relevant,"Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH"
Relevant,"RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen"
Relevant,"Wildfires in Colorado and New Mexico ravage thousands of acres of forest and cause massiv... http://t.co/SZuFABvb + http://t.co/8uX1AJmQ"
Relevant,"India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g"
Relevant,"Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO"
Not Relevant,"New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park
Not Relevant,"#Colorado #Canada #NewMexico #Arkansas #Laredo #Strongsville #world #news #Georgia #Louisiana #Hawaii  Gossip---&gt;http://t.co/qXvuajVY"
Relevant,"#50radio #NowPlaying 5-0 Radio app (Larimer County Fire and EMS) rr://7897 #highparkfire"
Not Relevant,"According to Gov Hickenlooper
Relevant,"RT @KyleLSaunders: Just some perspective: 14000 acres = 21.87500 sq mi #highparkfire; @LarimerSheriff notes still 0% containment--so sco ..."
Relevant,"Huge forest fire here in Colorado up in the mountains"
Relevant,"RT @HumaneSociety: .@winecountrydog it is still open to large animals just not people #highparkfire"
Not Relevant,"RT @denverpost: #HighParkFire
Not Relevant,"Colorado fire swells in size: A raging wildfire that swelled within a day to 8
Relevant,"@alan_arnette Moore Animal Hosptal in FC offering free small animal boarding and pick up for #highparkfire evacuees. 970-560-0452 for info."
Not Relevant,"RT @TigerAngel2: RT @HumaneSociety: Not affected by #highparkfire? Help @LarimerHumane by donating wet dog/cat food
Not Relevant,"#HighParkFire trying to get more of all resources.. air
Not Relevant,"Ufo Alerts: UFOs Filmed in Colorado Springs
Not Relevant,"RT @monikarun: Apocalypse #highparkfire   @ Taste of Fort Collins http://t.co/tjhlJqLU"
Not Relevant,"MT “@monikarun: #highparkfire @ Taste of Fort Collins http://t.co/InUMas5e” crazy. Kinda glad I'm not going now. But will miss Mat Kearney"
Relevant,"RT @HumaneSociety: If you are evacuating please don't wait - take your pets when you evacuate!  #highparkfire #wildfire"
Relevant,"RT @HumaneSociety If you are evacuating please don't wait - take your pets when you evacuate! #highparkfire #wildfire #COwx"
