Not Relevant,Tweet Text
Relevant,"Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national"
Relevant,"RT @gmanews: Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/I4Fjtg95"
Relevant,"Philippine flood fatalities hit 23 http://t.co/1aukg7RA"
Not Relevant,"4 Luzon dams release water; flood warning up: MANILA
Relevant,"RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible."
Relevant,"@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible."
Relevant,"RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible."
Relevant,"RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible."
Relevant,"RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible."
Relevant,"RT @ANCALERTS: PAGASA 10pm advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying a ..."
Relevant,"RT @ANCALERTS: UP Manila admin &amp; officials will monitor rain&amp;flood situation til 4am. Announcements will be made at the latest 5 ..."
Relevant,"RT @ANCALERTS: PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying ar ..."
Relevant,"RT @PHLNewsOnline: [ANC]  PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods... h ..."
Relevant,"RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ..."
Relevant,"RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ..."
Not Relevant,"“@ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"‎​PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"If floods end up banging up my Manila badly
Not Relevant,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Relevant,"RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods ... http://t.co/j9ubEbKE"
Not Relevant,"PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas
Not Relevant,"RT @KakanTuring: http://t.co/EvvpuBse The Great Manila Flood of '72
Not Relevant,"it's already Aug 7
Not Relevant,"RT @ABSCBNNews: FLOOD ALERT: San Marcelino Taft Ayala
Not Relevant,"RT @Karen_DaviLa: @MMDA Chair was right
Not Relevant,"RT @jascurtissmith: Don't gising me uuuuuuuuuuuup!!! #PinoyConyoLyrics parin. hope everyone in Manila is safe
Relevant,"Surviving in the manila flood #morefuninthephilippines http://t.co/P0DjcF5j"
Not Relevant,"Praying for Philippine
Not Relevant,"RT @philippinebeat: Folks
Relevant,"Hope mobile networks provide FREE CALLS today! MANY ARE IN NEED! Wag nyo na pagkakitaan ang bagyo! #rescueph #bayanihan #RescuePhilippines"
Relevant,"RT @ANCALERTS: Keep tweeting us so we can share updates with our followers. We're updating this list too. #rescuePH http://t.co/YHPd2G0u"
Not Relevant,"RT @YahooPH: use #rescuePH hashtag to allow all media outlets to monitor tweets related to the floods
Relevant,"RT @themallph: Hey guys! Use the hashtag #RescuePH for rescue operations and flood monitoring!"
Relevant,"Philippine capital hit by floods http://t.co/Zlk3k8b2"
Not Relevant,"RT @YahooPH: use #rescuePH hashtag to allow all media outlets to monitor tweets related to the floods
Relevant,"Whats the latest on #Manila floods situation? @mmda"
Relevant,"RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH"
Relevant,"#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :("
Relevant,"RT @BBCWorld: Philippine capital hit by floods http://t.co/T8pA0uut"
Relevant,"RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH"
Relevant,"RT @misterjpmanahan: #RescuePH &gt; RT @carladrianc: 74 yrs old lady trapped at 17 kapiligan st araneta subd qc. All grilled windows loc ..."
Not Relevant,"Philippine capital hit by floods: Flooding caused by torrential rain paralyses parts of Manila
Relevant,"RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH"
Relevant,"RT @ABSCBNNews: RT @pcdspo: Google Spreadsheet for #RescuePH http://t.co/Anntk4Jn… | via @mlq3"
Relevant,"#PrayForThePhilippines #RescuePH Stay Safe Guys. :)"
Not Relevant,"#prayersforthephilippines #rescuePH #PrayForMarikina xxx"
Relevant,"Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http://t.co/QlkHj8uz"
Relevant,"Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http://t.co/aov0z6yj"
Relevant,"@annagurlicious Ingat kayo dyan if you need to be rescued tweet mo lang @rescueph or #RescuePh"
Not Relevant,"A family needs to be rescued at 36 Road 3
Relevant,"RT @koryniledan: @ANCALERTS @DZMMTeleRadyo @inquirerdotnet &amp; @rapplerdotcom using #RESCUEPH as the unified hashtag for tweets re cri ..."
Relevant,"RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH"
Relevant,"Grabe! T_T RT @PioHerras URGENT - HELP IS NEEDED IN UST HOSPITAL. Flood has reached the building's 2nd level. #rescuePH"
Not Relevant,"RT @inquirerdotnet: RT @Philbizwatcher: SM Malls: Parking areas to be used free for cars of tenants
Relevant,"RT @USTCSC1213: @TheMayorLIM HELP IS NEEDED IN UST HOSPITAL. @rescue5ph @mmda @ANCALERTS @gmanews #rescueph"
Relevant,"RT @dzrhnews: Gamitin ang #rescuePH hashtag upang ma-monitor ng media outlets ang mga tweets kaugnay sa pagbaha at rescue operations. Ma ..."
Relevant,"RT @kmp091: Put anyone who needs rescue here. https://t.co/gdmntzXP #rescuePH"
Relevant,"RT @redgister: UP campuses in Diliman and Manila should be opened as evacuation centers for families affected by floods. - UPM DSS Chair ..."
Relevant,"RT @doblezeta: Rescue and coordinating operations like today is where Twitter really stands out. #RescuePH http://t.co/a1hizUd6"
Relevant,"RT @tonyocruz: Walked thru flood waters? Take one dose of Doxycycline (200mg) to guard against leptospirosis /via @thomasmmm #RescuePH"
Not Relevant,"RT @lightfusion: Please send rescue team to 14P Diamond St. Cypress Village
Relevant,"RT @themallph: Hey guys! Use the hashtag #RescuePH for rescue operations and flood monitoring!"
Relevant,"#rescuePH @mmda @ANCALERTS @ABSCBNNews @gmanews @Awesomesaucex3 INDIVIDUAL WITH A 3 MONTH OLD BABY IS IN NEED (cont) http://t.co/KQo90VOW"
Not Relevant,"@carlosceldran hi carlos! please use #rescuePH hashtag too! :)"
Relevant,"RT @ken_rhoel SOS!UST Hospital flood now on the 2/F.No food for the patients &amp; staff. Please RT! #Rescue5 #rescuePH @MMDA"
Relevant,"RT @tonyocruz: Walked thru flood waters? Take one dose of Doxycycline (200mg) to guard against leptospirosis /via @thomasmmm #RescuePH"
Relevant,"RT @miriamq: #RescuePH Rescue pls family trapped at Blk64 Lot2 Phase2 Dela Costa Homes V Burgos Montalban Rizal.Family of 4w/2 children. ..."
Not Relevant,"#rescueph Oooh so why do I really like you and so? Take me far beyond creative imagination!!! http://t.co/T5jZgJP9"
Relevant,"74 yrs old lady trapped at 17 kapiligan st araneta subd qc. All grilled windows locked water already at 2nd floor. #rescuePH help! RT"
Not Relevant,"RT @doblezeta: Anyone from San Mateo
Relevant,"RT @cnnbreak: Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http:/ ..."
Relevant,"RT @lexiaguinaldo: Pls rescue folks at 142 Maria Clara St. Talayan Village- they're on the roof! #rescuePH"
Relevant,"PLSSSSSSS We Beg You RT @nastassjatulfo: #rescuePH PLEASE DO RESCUE STRAY DOGS AND CATS also.."
Relevant,"RT @cnnbreak: Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http:/ ..."
Relevant,"RT @chayhofilena: Netizens can now #rescuePH via Googledocs http://t.co/SUQDg6C8 via @rapplerdotcom. Let's avoid duplications."
Not Relevant,"@anjelatin hi jela
Not Relevant,"RT @HerNotions: @Solid_ABSCBN Pls rescue PWDs in Tahanang Walang Hagdan
Relevant,"RT @mlq3: RT @tonyocruz: Please don't leave your pets behind. Call 817-5292 for animal rescue. /via @torresjane #RescuePH"
Relevant,"Rescue Database http://t.co/HPwS4qu6 #RescuePH"
Relevant,"RT: Out of control flooding in the Philipppines. #PrayForThePhilippines #rescuePH"
Relevant,"RT @rancyamor: @annecurtissmith please rt. Thanks. Needs rescue!  #rescuePH 6 Monte Carlo St. Ciudad Grande Valenzuela City (near Daland ..."
Not Relevant,"RT @VictoriaCourtVC: The flood victims of Manila need soap
Relevant,"Consolidated list of people who need rescuing. http://t.co/P4Ueb2KI #rescuePH"
Relevant,"#rescueph I can not believe right away is finished! Sad.. fromthejungle http://t.co/kQ2QWzH7"
Relevant,"RT @ANCALERTS: Kalesas in Manila still trying to make a living despite floods http://t.co/iHnet7Io | via @Nikobaua"
Not Relevant,"@tinbarredo you too
Not Relevant,"RT @ELF_thoughts: Heard that floods in Manila are up to the neck
Relevant,"RT @tonyocruz: Want to donate or to volunteer? Check out this list: http://t.co/EMMUXsbA /via @CP_Union #RescuePH"
Not Relevant,"RT @TheKenNarvato: 18 Mais Street
Relevant,"RT @rancyamor: @annecurtissmith please rt. Thanks. Needs rescue!  #rescuePH 6 Monte Carlo St. Ciudad Grande Valenzuela City (near Daland ..."
Relevant,"RT @trishvelarmino: Animal Rescue Hotline: 817-5292. DO NOT LEAVE YOUR PETS BEHIND. #rescuePH"
Not Relevant,"RT @doblezeta: Some good news
Not Relevant,"RT @simply_suzzie: Mayamot
Relevant,"RT @akoposimarcelo: Flood in the UST Hospital is now on the 2nd floor. No food for the patients &amp; staff. Pls. help! #rescuePH @rescu ..."
Not Relevant,"#rescueph I cannot believe this guy ... http://t.co/nMtMBjO2"
Relevant,"Metro Manila flood updates: NLEX is now North Luzon Express River . PLS RT AND SPREAD. http://t.co/XVrliaME"
Relevant,"Flood can harm animals just as easily as it can harm people!Place horses to safer place &amp; not take advantage for money from this! #rescuePH"
Not Relevant,"RT @Tamaraw_Nation: FEU
Not Relevant,"RT @MMDA: Some good news
Relevant,"RT @rancyamor: @annecurtissmith please rt. Thanks. Needs rescue!  #rescuePH 6 Monte Carlo St. Ciudad Grande Valenzuela City (near Daland ..."
Not Relevant,"RT @Tamaraw_Nation: FEU
Not Relevant,"RT @Tamaraw_Nation: FEU
Not Relevant,"Please help @mysheenahalili's lolo
Relevant,"Please retweet! Teenager stranded in his house 8 st catherine street provident vill mrkna #rescuePH #PrayForThePhilippines"
Relevant,"RT @MACYrah21: Pls #RescuePH all the families na nasa taas na ng bubong dito sa san nicolas san fernando pampanga! Help them! Pls RT!"
Not Relevant,"RT @HerNotions: @YahooPH Pls rescue PWDs in Tahanang Walang Hagdan
Relevant,"Philippine capital paralysed by floods - BBC News http://t.co/omX5cTjN"
Not Relevant,"RT @gmanews: Mahigit 20
Relevant,"RT @keyrjem22: Gusto kong tumulong.  #rescuePH"
Not Relevant,"RT @iamLABLEH: #rescuePH Provident Village at Marikina nagmistulang dagat n nman
Relevant,"RT @scaredbrumak: Philippine capital hit by floods http://t.co/rhcjSsQr"
Relevant,"RT @tonyocruz: All donations brought to LBC will be sent to PH Red Cross evacuation centers /via @LBC_Foundation #ReliefPH"
Not Relevant,"Good news indeed! Ingat po. RT @MMDA: Some good news
Not Relevant,"RT @simply_suzzie: Mayamot
Not Relevant,"RT @rapplerdotcom: Photo from @JohnAllanegui: Pablo Ocampo
Not Relevant,"#rescuePH Kaira is unquestionably a new prick. He published it on porntube. Such an butt.  http://t.co/5lTtOrtN"
Not Relevant,"RT @McDo_ph: McDonald's stores open in Metro Manila are now accepting donations in kind (rice
Not Relevant,"RT @McDo_ph: McDonald's stores open in Metro Manila are now accepting donations in kind (rice
Not Relevant,"Lumindol pa
Not Relevant,"#rescuePH Residents of Tahanang Walang Hagdan
Not Relevant,"PLEASE RT! A CERTAIN RODRIGO SALVADOR IS NEED OF RESCUE. HE IS WITH 6 KIDS
Relevant,"RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....)"
Relevant,"#rescuePH Brgy. Tatalon Araneta Ave Corner Victory Quezon City"
Not Relevant,"#rescueph Yes
Not Relevant,"RT @McDo_ph: McDonald's stores open in Metro Manila are now accepting donations in kind (rice
Not Relevant,"RT @HansenNichols: For rescue needs
Not Relevant,"RT @VMetroEast: “Those who need rescue
Relevant,"#reliefph RT @AlabangTownCntr Let's help our countrymen most affected by the floods. Donation boxes (cont) http://t.co/gQspY38n"
Not Relevant,"Neil Gaiman
Not Relevant,"RT @YTF_Philippines: RT Families stuck in the roof
Relevant,"RT @AnnValerio: University of Santo Tomas (UST) Hospital needs food for the patients and staff. #rescuePH"
Relevant,"RT @princessu1: RT pls @suzy899 #ReliefPH All Ayala Malls accepting donations 4 flood victims.just go to concierge booths in Ayala Malls ..."
Not Relevant,"#rescuePH “@CESC_1213: PLEASE HELP US SEEK RESCUE FOR OUR FRIEND!:( Jaja Vigilia
Not Relevant,"#floodsph Allure    http://t.co/ojoQBWIM"
Not Relevant,"RT @dennismendiola: SMART subs
Relevant,"RT People at Kingsville and Filinvest East Antipolo needs immediate help. Yung ibang tao nasa bubong na daw. @MMDA @ANCALERTS #rescueph"
Relevant,"RT @Pinoy_Humor: Please TWEET and USE hashtags #ReliefPH (relief ops) #RescuePH (Rescue concerns) #FloodsPH (flood news) #PHalerts (gove ..."
Not Relevant,"#reliefph Victoria Flawless Justice I cannot believe this is often trending -.- http://t.co/ckKeL5sw"
Not Relevant,"RT @dennismendiola: SMART subs
Relevant,"RT @YouScoopGMA: YouScoop: UE students spent the night in Manila campus after flood prevented them from leaving http://t.co/B0z5YNjf."
Not Relevant,"#rescueph Decide me ought to you have to
Relevant,"RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....)"
Relevant,"RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....)"
